normalized_frequency,f_nat*cospec(w_u)/cov(w_u)
0.0187008,0.00808976
-9999,-9999
-9999,-9999
-9999,-9999
0.0374017,0.0380673
-9999,-9999
0.0561025,0.00442179
-9999,-9999
0.0748034,0.080419
0.0935042,0.303551
0.112205,0.0253209
0.140256,0.0970569
0.168308,0.409238
0.196359,0.0607694
0.23376,0.211829
0.280513,0.192422
0.345966,0.044943
0.420769,0.10307
0.495572,0.178968
0.589076,0.426921
0.710632,0.191968
0.860239,0.320265
1.02855,0.141783
1.2249,0.0978476
1.47737,0.152527
1.77658,0.264086
2.1319,0.146769
2.56201,-0.0484856
3.06694,0.173104
3.67471,0.203553
4.4134,0.146455
5.29234,0.125495
6.34893,0.0627495
7.62059,0.0743003
9.14471,0.16916
10.9774,0.0334248
13.1654,0.0105507
15.7929,0.025206
18.9533,0.0064539
22.7309,-0.00394067
27.2658,0.0111823
32.7171,0.0118684
39.2531,0.00845334
47.0981,0.018344
56.5046,-0.0194071
67.7905,-0.0164554
81.3299,-0.000597991
97.5716,-0.0106849
117.067,-0.0121222
140.453,-0.00683482
